Date,State,Demand,Treated,Post
2020-04-15,Maharashtra,395.0,1,0
2020-04-16,Maharashtra,402.2,1,0
2020-04-17,Maharashtra,401.9,1,0
2020-04-18,Maharashtra,400.2,1,0
2020-04-19,Maharashtra,380.5,1,0
2020-04-20,Maharashtra,388.6,1,0
2020-04-21,Maharashtra,399.1,1,0
2020-04-22,Maharashtra,405.7,1,0
2020-04-23,Maharashtra,410.2,1,0
2020-04-24,Maharashtra,412.7,1,0
2020-04-25,Maharashtra,404.4,1,0
2020-04-27,Maharashtra,405.7,1,0
2020-04-28,Maharashtra,408.1,1,0
2020-04-29,Maharashtra,408.8,1,0
2020-04-30,Maharashtra,405.1,1,0
2020-05-01,Maharashtra,400.2,1,0
2020-05-02,Maharashtra,409.9,1,0
2020-05-03,Maharashtra,414.1,1,0
2020-05-04,Maharashtra,416.5,1,0
2020-05-05,Maharashtra,421.3,1,0
2020-05-06,Maharashtra,431.5,1,0
2020-05-07,Maharashtra,427.2,1,0
2020-05-08,Maharashtra,428.6,1,0
2020-05-09,Maharashtra,432.1,1,0
2020-05-10,Maharashtra,407.7,1,0
2020-05-11,Maharashtra,392.5,1,0
2020-05-13,Maharashtra,421.3,1,0
2020-05-14,Maharashtra,411.2,1,0
2020-05-15,Maharashtra,405.4,1,0
2020-05-16,Maharashtra,405.1,1,0
2020-05-17,Maharashtra,404.9,1,0
2020-05-18,Maharashtra,418.3,1,0
2020-05-19,Maharashtra,420.9,1,0
2020-05-20,Maharashtra,426.2,1,0
2020-05-21,Maharashtra,434.5,1,0
2020-05-22,Maharashtra,442.1,1,0
2020-05-23,Maharashtra,443.5,1,0
2020-05-24,Maharashtra,447.4,1,0
2020-05-25,Maharashtra,457.9,1,0
2020-05-26,Maharashtra,462.7,1,0
2020-05-27,Maharashtra,460.7,1,0
2020-05-28,Maharashtra,457.3,1,0
2020-05-29,Maharashtra,462.6,1,0
2020-05-30,Maharashtra,461.3,1,0
2020-05-31,Maharashtra,443.4,1,0
2020-06-01,Maharashtra,388.3,1,1
2020-06-02,Maharashtra,374.1,1,1
2020-06-03,Maharashtra,288.2,1,1
2020-06-04,Maharashtra,283.6,1,1
2020-06-05,Maharashtra,335.2,1,1
2020-06-06,Maharashtra,357.0,1,1
2020-06-07,Maharashtra,366.4,1,1
2020-06-08,Maharashtra,385.6,1,1
2020-06-09,Maharashtra,405.9,1,1
2020-06-10,Maharashtra,407.8,1,1
